Citing_PaperID,Cited_PaperID,CitationDate,Citing_AuthorID,Citing_AffiliationID,Citing_AuthorSequenceNumber,Cited_AuthorID,Cited_AffiliationID,Cited_AuthorSequenceNumber
2983690781,2912656646,2019-01-01,2986106749,,1,2912049088,,1
2946992046,2912896511,2019-01-01,2098525223,192455969.0,1,2312922440,,4
2946992046,2912896511,2019-01-01,2754157762,,2,2312922440,,4
2946992046,2912896511,2019-01-01,2098525223,192455969.0,1,2912591221,,2
2946992046,2912896511,2019-01-01,2754157762,,2,2912591221,,2
2946992046,2912896511,2019-01-01,2098525223,192455969.0,1,2912896796,133731052.0,3
2946992046,2912896511,2019-01-01,2754157762,,2,2912896796,133731052.0,3
2946992046,2912896511,2019-01-01,2098525223,192455969.0,1,2914939452,,5
2946992046,2912896511,2019-01-01,2754157762,,2,2914939452,,5
2946992046,2912896511,2019-01-01,2098525223,192455969.0,1,2989676603,,1
2946992046,2912896511,2019-01-01,2754157762,,2,2989676603,,1
3029937593,2913022536,2019-01-01,2338051683,99464096.0,1,2338051683,,1
2988919590,2913321850,2019-01-01,2983738085,,1,2160385871,,1
2978475486,2913718182,2019-01-01,2139241364,,5,2139241364,880615350.0,2
2978475486,2913718182,2019-01-01,2161904850,,6,2139241364,880615350.0,2
2978475486,2913718182,2019-01-01,2168610184,,2,2139241364,880615350.0,2
2978475486,2913718182,2019-01-01,2212507717,,8,2139241364,880615350.0,2
2978475486,2913718182,2019-01-01,2249738579,,7,2139241364,880615350.0,2
2978475486,2913718182,2019-01-01,2500931020,,1,2139241364,880615350.0,2
2978475486,2913718182,2019-01-01,2990535256,,4,2139241364,880615350.0,2
2978475486,2913718182,2019-01-01,2996230949,,3,2139241364,880615350.0,2
2978475486,2913718182,2019-01-01,2139241364,,5,2168610184,161057412.0,3
2978475486,2913718182,2019-01-01,2161904850,,6,2168610184,161057412.0,3
2978475486,2913718182,2019-01-01,2168610184,,2,2168610184,161057412.0,3
2978475486,2913718182,2019-01-01,2212507717,,8,2168610184,161057412.0,3
2978475486,2913718182,2019-01-01,2249738579,,7,2168610184,161057412.0,3
2978475486,2913718182,2019-01-01,2500931020,,1,2168610184,161057412.0,3
2978475486,2913718182,2019-01-01,2990535256,,4,2168610184,161057412.0,3
2978475486,2913718182,2019-01-01,2996230949,,3,2168610184,161057412.0,3
2978475486,2913718182,2019-01-01,2139241364,,5,2500931020,87552059.0,1
2978475486,2913718182,2019-01-01,2161904850,,6,2500931020,87552059.0,1
2978475486,2913718182,2019-01-01,2168610184,,2,2500931020,87552059.0,1
2978475486,2913718182,2019-01-01,2212507717,,8,2500931020,87552059.0,1
2978475486,2913718182,2019-01-01,2249738579,,7,2500931020,87552059.0,1
2978475486,2913718182,2019-01-01,2500931020,,1,2500931020,87552059.0,1
2978475486,2913718182,2019-01-01,2990535256,,4,2500931020,87552059.0,1
2978475486,2913718182,2019-01-01,2996230949,,3,2500931020,87552059.0,1
2978475486,2913718182,2019-01-01,2139241364,,5,2912279080,40347166.0,5
2978475486,2913718182,2019-01-01,2161904850,,6,2912279080,40347166.0,5
2978475486,2913718182,2019-01-01,2168610184,,2,2912279080,40347166.0,5
2978475486,2913718182,2019-01-01,2212507717,,8,2912279080,40347166.0,5
2978475486,2913718182,2019-01-01,2249738579,,7,2912279080,40347166.0,5
2978475486,2913718182,2019-01-01,2500931020,,1,2912279080,40347166.0,5
2978475486,2913718182,2019-01-01,2990535256,,4,2912279080,40347166.0,5
2978475486,2913718182,2019-01-01,2996230949,,3,2912279080,40347166.0,5
2978475486,2913718182,2019-01-01,2139241364,,5,2990535256,40347166.0,4
2978475486,2913718182,2019-01-01,2161904850,,6,2990535256,40347166.0,4
2978475486,2913718182,2019-01-01,2168610184,,2,2990535256,40347166.0,4
2978475486,2913718182,2019-01-01,2212507717,,8,2990535256,40347166.0,4
2978475486,2913718182,2019-01-01,2249738579,,7,2990535256,40347166.0,4
2978475486,2913718182,2019-01-01,2500931020,,1,2990535256,40347166.0,4
2978475486,2913718182,2019-01-01,2990535256,,4,2990535256,40347166.0,4
2978475486,2913718182,2019-01-01,2996230949,,3,2990535256,40347166.0,4
2982176650,2913876718,2019-01-01,2810208170,52135307.0,2,2895028943,,1
2982176650,2913876718,2019-01-01,2811361658,52135307.0,3,2895028943,,1
2982176650,2913876718,2019-01-01,2949308463,52135307.0,1,2895028943,,1
2982176650,2913876718,2019-01-01,2810208170,52135307.0,2,2895527137,,2
2982176650,2913876718,2019-01-01,2811361658,52135307.0,3,2895527137,,2
2982176650,2913876718,2019-01-01,2949308463,52135307.0,1,2895527137,,2
2982176650,2913876718,2019-01-01,2810208170,52135307.0,2,2915997133,,3
2982176650,2913876718,2019-01-01,2811361658,52135307.0,3,2915997133,,3
2982176650,2913876718,2019-01-01,2949308463,52135307.0,1,2915997133,,3
2982176650,2913876718,2019-01-01,2810208170,52135307.0,2,2917012539,,4
2982176650,2913876718,2019-01-01,2811361658,52135307.0,3,2917012539,,4
2982176650,2913876718,2019-01-01,2949308463,52135307.0,1,2917012539,,4
3004542617,2914024436,2019-01-01,2272925244,,5,2912386483,,1
3004542617,2914024436,2019-01-01,2907636725,,6,2912386483,,1
3004542617,2914024436,2019-01-01,2936655411,,3,2912386483,,1
3004542617,2914024436,2019-01-01,2991911857,,4,2912386483,,1
3004542617,2914024436,2019-01-01,3005184545,,1,2912386483,,1
3004542617,2914024436,2019-01-01,3216421585,,2,2912386483,,1
2994977660,2914199822,2019-01-01,2786931665,,1,2911510007,,1
3130617593,2914322857,2019-01-01,3131661473,,1,2911470925,,1
2963786119,2915985209,2019-01-01,1221163068,190082696.0,3,2166969495,52099693.0,1
